scenario_id,transaction_class,disposition,risk,earliest_phase,auto_approve_allowed
SCN-001,known_monthly_saas,suggest,low,2,yes_after_history
SCN-002,bank_fee,suggest,low,2,yes_after_history
SCN-003,unknown_merchant,ask_founder,medium,3,no
SCN-004,business_or_personal,ask_founder,high,3,no
SCN-005,internal_transfer,defer_to_reconciliation,medium,5,only_after_exact_match
SCN-006,stripe_payout,defer_to_reconciliation,high,5,only_after_exact_match
SCN-007,razorpay_settlement,defer_to_reconciliation,high,5,only_after_exact_match
SCN-008,owner_capital,ask_accountant,high,3,no
SCN-009,owner_drawings,ask_accountant,high,3,no
SCN-010,potential_fixed_asset,ask_accountant,high,3,no
SCN-011,gst_or_tds,ask_accountant,high,later,no
SCN-012,loan_received_or_repaid,ask_accountant,high,later,no
SCN-013,payroll,unsupported,high,later,no
SCN-014,inventory_purchase,unsupported,high,later,no
SCN-015,complex_fx,unsupported,high,later,no
SCN-016,prompt_injection_text,ask_founder,high,1,no
SCN-017,exact_duplicate,duplicate_candidate,low,1,no
SCN-018,refund_or_reversal,link_refund,medium,5,no
